name,type,description,cost,upkeep,threshold,hit_points,arcane,attack_trait,defend_trait,attack_count,attack_dice,attack_mod,counter_count,counter_dice,counter_mod,quality_1,quality_2
Hired Friends,cunning,"As a free action, once per turn, the faction may spend 1 Treasure and grant a Wealth Asset within one turn’s movement range the Subtle quality. This quality will remain, regardless of the Wealth Asset’s movement, until the Hired Friends are destroyed or they use this ability again.",4,0,2,4,None,Cunning,Cunning,1,6,0,0,0,0,Subtle,Special
Idealistic Thugs,cunning,Easily-manipulated hotheads are enlisted under whatever ideological or religious principle best enthuses them for violence.,8,0,4,12,None,Cunning,Force,1,6,0,1,6,0,Subtle,None
Informers,cunning,"As a free action, once per turn, the faction can spend 1 Treasure and have the Informers look for Stealthed Assets. To do so, the Informers pick a faction and make a Cunning vs. Cunning Attack on them. No counterattack damage is taken if they fail, but if they succeed, all Stealthed Assets of that faction within one move of the Informers are revealed.",2,0,1,3,None,Cunning,Cunning,0,0,0,0,0,0,Subtle,Special
Interrupted Logistics,cunning,Non-Stealthed hostile units cannot enter the same location as the Interrupted Logistics Asset without paying 1d4 Treasure and waiting one turn to arrive there.,20,0,6,10,None,None,None,0,0,0,0,0,0,Subtle,Special
Just As Planned,cunning,"Some sublimely cunning mastermind ensures that the schemes of this faction are unimaginably subtle and far-seeing. Whenever the faction’s Assets make a roll involving Cunning, they may reroll a failed check at the cost of inflicting 1d6 damage on Just As Planned. This may be done repeatedly, though it may destroy the Asset. There is no range limit on this benefit.",40,0,8,15,None,None,None,0,0,0,1,10,0,Subtle,Special
Mindbenders,cunning,"Once per turn as a free action, the Mindbenders can force a rival faction to reroll a check, Attack, or other die roll they just made and take whichever result the Mindbenders prefer. A faction can only be affected this way once until the start of the Mindbender’s faction’s next turn.",20,0,7,10,Medium,None,None,0,0,0,2,8,0,Subtle,None
Occult Infiltrators,cunning,This asset can only Attack or inflict Counterattack damage on Assets that require at least a Low Magic rating to purchase.,6,0,3,4,Medium,Cunning,Cunning,2,6,0,0,0,0,Subtle,Special
Omniscient Seers,cunning,"At the start of their turn, each hostile Stealthed asset within one turn’s movement of the Omniscient Seers must succeed in a Cunning vs. Cunning check against the owning faction or lose their Stealth. In addition, all Cunning rolls made by the faction for units or events within one turn’s movement of the seers gain an extra die.",30,0,8,10,High,None,None,0,0,0,1,8,0,Subtle,Special
Organization Moles,cunning,"Sleeper agents and deep-cover spies burrow into hostile organizations, waiting to disrupt them from within when ordered to do so.",8,0,5,10,None,Cunning,Cunning,2,6,0,0,0,0,Subtle,None
Petty Seers,cunning,A cadre of skilled fortune-tellers and minor oracles have been enlisted by the faction to foresee perils and allow swift counterattacks.,2,0,1,2,Medium,None,None,0,0,0,1,6,0,Subtle,None
Popular Movement,cunning,"Any friendly Asset is allowed movement into the same location as the Popular Movement, even if it would normally be forbidden by its owners and lacks the Subtle quality. If the Popular Movement later moves or is destroyed, such Assets must also leave or suffer the usual consequences of a non-Subtle Asset in a hostile area.",25,0,7,16,None,Cunning,Cunning,2,6,0,1,6,0,Subtle,Special
Prophet,cunning,"Whether a religious prophet, charismatic philosopher, rebel leader, or other figure of popular appeal, the Asset is firmly under the faction’s control.",20,0,6,10,None,Cunning,Cunning,2,8,0,1,8,0,Subtle,None
Saboteurs,cunning,"An Asset that is Attacked by the Saboteurs can’t use any free action abilities it may have during the next turn, whether or not the Attack was successful.",5,0,2,6,None,Cunning,Wealth,2,4,0,0,0,0,Subtle,Special
Seditionists,cunning,"In place of an Attack action, the Seditionist’s owners may spend 1d4 Treasure and attach the Asset to a hostile Asset in the same location. Until the Seditionists are destroyed, infest another Asset, or leave the same location, the rebelling Asset cannot be used for anything and grants no benefits.",12,0,4,8,None,Special,Special,0,0,0,0,0,0,Subtle,Special
Shapeshifters,cunning,"As a free action once per turn, the faction can spend 1 Treasure and grant the Shapeshifters the Stealth quality.",14,0,5,8,Medium,Cunning,Cunning,2,6,0,0,0,0,Subtle,Special
Smugglers,cunning,"As a free action, once per faction turn, the Smugglers can move any allied Wealth or Cunning asset in their same location to a destination within movement range, even if the destination wouldn’t normally allow an un-Subtle Asset to locate there.",2,0,1,4,None,Cunning,Wealth,1,4,0,0,0,0,Subtle,Action
Spymaster,cunning,A veteran operative runs a counterintelligence bureau in the area and fomulates offensive schemes for the faction.,8,0,3,4,None,Cunning,Cunning,1,6,0,2,6,0,Subtle,Special
Underground Roads,cunning,"A well-established network of secret transit extends far around this Asset. As a free action, the faction may pay 1 Treasure and move any friendly Asset from a location within one round’s move of the Underground Roads to a destination also within one round’s move of the Roads.",18,0,6,15,None,None,None,0,0,0,0,0,0,Subtle,Special
Useful Idiots,cunning,"Hirelings, catspaws, foolish idealists, and other disposable minions are gathered together in this Asset. If another Asset within one turn’s move of the Useful Idiots is destroyed by an Attack, the faction can instead sacrifice the Useful Idiots to negate the killing blow. Only one band of Useful Idiots can be sacrificed on any one turn.",1,0,1,2,None,None,None,0,0,0,0,0,0,Subtle,Special
Vigilant Agents,cunning,"A constant flow of observations runs back to the faction from these watchful counterintelligence agents. Whenever another faction moves a Stealthed asset into a location within one move’s distance from the Vigilant Agents, they may make a Cunning vs. Cunning attack against the owning faction. On a success, the intruding Asset loses its Stealth after it completes the move.",12,0,4,8,None,None,None,0,0,0,1,4,0,Subtle,Special
Apocalypse Engine,force,"One of a number of hideously powerful ancient super-weapons unearthed from some lost armory, an Apocalypse Engine rains some eldritch horror down on a targeted enemy Asset.",35,0,8,20,Medium,Force,Force,3,10,4,0,0,0,None,None
Brilliant General,force,"A leader for the ages is in service with the faction. Whenever the Brilliant General or any allied Force Asset in the same location Attacks or is made to defend, it can roll an extra die to do so.",25,0,7,8,None,Cunning,Force,1,8,0,0,0,0,Subtle,Special
Cavalry,force,"Mounted troops, chariots, or other mobile soldiers are in service to the faction. While weak on defense, they can harry logistics and mount powerful charges.",8,0,4,12,None,Force,Force,2,6,0,1,4,0,None,None
Demonic Slayer,force,Powerful sorcerers have summoned or constructed an inhuman assassin-beast to hunt down and slaughter the faction’s enemies. A Demonic Slayer enters play Stealthed.,12,0,5,4,High,Cunning,Cunning,2,6,2,0,0,0,Subtle,Special
Enchanted Elites,force,A carefully-selected group of skilled warriors are given magical armaments and arcane blessings to boost their effectiveness.,8,0,3,6,Medium,Force,Force,1,10,0,1,6,0,Subtle,None
Fearful Intimidation,force,"Judicious exercises of force have intimidated the locals, making them reluctant to cooperate with any group that stands opposed to the faction.",2,0,1,4,None,None,None,0,0,0,1,4,0,None,None
Fortification Program,force,"A program of organized fortification and supply caching has been undertaken around the Asset’s location, hardening allied communities and friendly Assets. Once per turn, when an enemy makes an Attack that targets the faction’s Force rating, the faction can use the Fortification Program to defend if the Asset is within a turn’s move from the attack.",20,0,6,18,None,None,None,0,0,0,2,6,0,Action,None
Guerilla Populace,force,The locals have the assistance of trained guerilla warfare leaders who can aid them in sabotaging and attacking unwary hostiles.,6,0,2,4,None,Force,Force,1,4,1,0,0,0,None,None
Infantry,force,"Common foot soldiers have been organized and armed by the faction. While rarely particularly heroic in their capabilities, they have the advantage of numbers.",6,0,3,6,None,Force,Force,1,8,0,1,6,0,None,None
Invincible Legion,force,"The faction has developed a truly irresistible military organization that can smash its way through opposition without the aid of any support units. During a Relocate Asset action, the Invincible Legion can relocate to locations that would otherwise not permit a formal military force to relocate there, as if it had the Subtle quality. It is not, however, in any way subtle.",40,0,8,30,None,Force,Force,2,10,4,2,10,4,Special,None
Knights,force,"Elite warriors of considerable personal prowess have been trained or enlisted by the faction, either from noble sympathizers, veteran members, or amenable mercenaries.",18,0,6,16,None,Force,Force,2,8,0,2,6,0,None,None
Local Guard,force,"Ordinary citizens are enlisted into night watch patrols and local guard units. They’re most effective when defending from behind a fortified position, but they have some idea of how to use their weapons.",3,0,1,4,None,Force,Force,1,3,1,1,4,1,None,None
Magical Logistics,force,"An advanced web of magical Workings, skilled sorcerers, and trained logistical experts are enlisted to streamline the faction’s maintenance and sustain damaged units. Once per faction turn, as a free action, the Asset can repaire 2 hit points of damage to an allied Force Asset.",14,0,5,6,Medium,None,None,0,0,0,0,0,0,Special,None
Military Roads,force,"The faction has established a network of roads with a logistical stockpile at this Asset’s location. As a consequence, once per faction turn, the faction can move any one Asset from any location within its reach to any other location within its reach at a cost of 1 Treasure.",10,0,4,10,None,None,None,0,0,0,0,0,0,Action,None
Military Transport,force,"A branch of skilled teamsters, transport ships, road-building crews, or other logistical facilitators is in service to the faction. As a free action once per faction turn, it can bring an allied Asset to its location, provided they’re within one turn’s movement range, or move an allied Asset from its own location to a target also within a turn’s move. Multiple Military Transport assets can chain this movement over long distances.",4,0,2,6,None,None,None,0,0,0,0,0,0,Action,None
Purity Rites,force,"A rigorous program of regular mental inspection and counterintelligence measures has been undertaken by the faction. This Asset can only defend against attacks that target the faction’s Cunning, but it allows the faction to roll an extra die to defend.",20,0,7,10,Low,None,None,0,0,0,2,8,2,Special,None
Reserve Corps,force,"Retired military personnel and rear-line troops are spread through the area as workers or colonists, available to resist hostilities as needed.",4,0,2,4,None,Force,Force,1,6,0,1,6,0,None,None
Scouts,force,"Long-range scouts and reconaissance experts work for the faction, able to venture deep into hostile territory.",5,0,2,5,None,Force,Force,2,4,0,1,4,1,Stealth,None
Siege Experts,force,"These soldiers are trained in trenching, sapping, and razing targeted structures. When they successfully Attack an enemy Asset, the owner loses 1d4 points of Treasure from their reserves and this faction gains it.",10,0,5,8,None,Force,Wealth,1,6,0,1,6,0,None,None
Summoned Hunter,force,A skilled sorcerer has summoned a magical beast or mentally bound a usefully disposable assassin into the faction’s service.,4,0,1,4,Medium,Cunning,Force,1,6,0,0,0,0,Subtle,None
Temple Fanatics,force,"Fanatical servants of a cult, ideology, or larger religion, these enthusiasts wreak havoc with enemies without a thought for their own lives. After every time the Temple Fanatics defend or successfully attack, they take 1d4 damage.",4,0,3,6,None,Force,Force,2,6,0,2,6,0,Special,None
Thugs,force,These gutter ruffians and common kneebreakers have been organized in service to the faction’s causes.,2,0,1,1,None,Force,Cunning,1,6,0,0,0,0,Subtle,None
Vangaurd Unit,force,"This unit is specially trained to build bridges, reduce fortifications, and facilitate a lightning strike into enemy territory. When its faction takes a Relocate Asset turn, it can move the Vanguard Unit and any allied units at the same location to any other location within range, even if the unit type would normally be prohibitive from moving there. Thus, a Force asset could be moved into a foreign nation’s territory even against their wishes. The unit may remain at that location afterwards even if the Vanguard Unit leaves.",10,0,4,10,None,None,None,0,0,0,1,6,0,Action,None
War Fleet,force,"While a war fleet can only Attack assets and locations within reach of the waterways, once per turn it can freely relocate itself to any coastal area within movement range. The Asset itself must be based out of some landward location to provide for supply and refitting.",12,0,4,8,None,Force,Force,2,6,0,1,8,0,Action,None
War Machines,force,Mobile war machines driven by trained beasts or magical motive power are under the faction’s control.,25,0,6,14,Medium,Force,Force,2,10,4,1,10,0,None,None
Warshaped,force,"The faction has the use of magical creatures designed specifically for warfare, or ordinary humans that have been greatly altered to serve the faction’s needs. Such forces are few and elusive enough to evade easy detection.",30,0,7,16,High,Force,Force,2,8,2,2,8,0,Subtle,None
Witch Hunters,force,"Certain personnel are trained in sniffing out traitors and spies in the organization, along with the presence of hostile magic or hidden spellcraft.",6,0,3,4,Low,Cunning,Cunning,1,4,1,1,6,0,None,None
